Linux 6.8.0-1024-aws (ip-172-31-34-59) 	03/31/25 	_x86_64_	(32 CPU)

11:18:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:05      30   21.00    0.00   79.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:19:05      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:19:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:06     all   25.86    0.00    1.87    0.00    0.00    0.00    0.00    0.00    0.00   72.27
11:19:06       0   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06       1   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06       2   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06       3   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06       4   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06       5   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06       6   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06       7   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06       8   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06       9   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      10   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06      11   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06      12   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06      13   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06      14   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06      15   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      16   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
11:19:06      17   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      18   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      19   23.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.24
11:19:06      20   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      21   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      22   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
